listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22917183;54.9;75;2 + fél szoba;2;1;7. ker;Belső-Erzsébetváros;újszerű;1;nincs megadva;van;elektromos;nincs megadva;47.495834;19.065235;dél;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
22917847;24.9;43;2 szoba;2;0;6. ker;Külső-Terézváros;jó állapotú;nincs megadva;nincs megadva;nincs megadva;gáz (cirko);nincs megadva;47.50501;19.068192;délnyugat;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22917202;58;98;3 szoba;3;0;7. ker;Belső-Erzsébetváros;jó állapotú;3;nincs megadva;van;gáz (konvektor);nincs megadva;47.495834;19.065235;dél;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
22917061;38.5;66;2 szoba;2;0;6. ker;Belső-Terézváros;felújítandó;1;nincs megadva;van;gáz (konvektor);udvari;47.506397;19.061193;északkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;külön és egyben is;nem tetőtéri
22917300;82;94;3 szoba;3;0;5. ker;Belváros;újszerű;félemelet;6;van;gáz (cirko);udvari;47.493084;19.053127;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nem tetőtéri
22916784;19.6;33;1 szoba;1;0;6. ker;Külső-Terézváros;jó állapotú;1;3;van;gáz (konvektor);udvari;47.50927;19.06557;délkelet;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22916783;64;64;2 szoba;2;0;6. ker;Belső-Terézváros;újszerű;4;7;van;fan-coil;utcai;47.50428;19.05797;nincs megadva;teremgarázs - megvehető;0;van;3 m-nél alacsonyabb;luxus;egy helyiségben;nem tetőtéri
22916773;31;38;1 + fél szoba;1;1;7. ker;Belső-Erzsébetváros;felújítandó;4;4;van;gáz (cirko);utcai;47.49779;19.06543;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22916452;39.9;61;1 + 2 fél szoba;1;2;7. ker;Belső-Erzsébetváros;újszerű;3;nincs megadva;van;elektromos;nincs megadva;47.49676;19.06182;északkelet;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916208;52.5;110;3 + fél szoba;3;1;7. ker;Belső-Erzsébetváros;újszerű;3;3;nincs;nincs megadva;utcai;47.495834;19.065235;nincs megadva;utcán. közterületen - fizetős;;nincs megadva;nincs megadva;összkomfortos;egy helyiségben;nincs megadva
22916229;22.9;26;1 + fél szoba;1;1;7. ker;Középső-Erzsébetváros;felújított;nincs megadva;3;van;fan-coil;udvari;47.50274;19.06955;kelet;nincs megadva;;nincs megadva;3 m vagy magasabb;luxus;egy helyiségben;nem tetőtéri
22916499;39.9;61;3 szoba;3;0;7. ker;Belső-Erzsébetváros;nincs megadva;3;nincs megadva;van;elektromos;udvari;47.498585;19.063519;északkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22916322;49.9;76;3 + fél szoba;3;1;6. ker;Külső-Terézváros;újszerű;3;nincs megadva;nincs;gáz (cirko);nincs megadva;47.50927;19.06557;dél;nincs megadva;17;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916395;95.9;63;2 + fél szoba;2;1;6. ker;Belső-Terézváros;újszerű;2;nincs megadva;van;gáz (cirko);nincs megadva;47.50293;19.0642;dél;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916447;17.7;34;1 szoba;1;0;7. ker;Külső-Erzsébetváros;jó állapotú;1;3;nincs;gáz (konvektor);udvari;47.504086;19.08557;nyugat;utcán. közterületen - ingyenes;;van;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22916380;38.5;66;2 szoba;2;0;6. ker;Belső-Terézváros;felújítandó;1;nincs megadva;van;gáz (konvektor);nincs megadva;47.506397;19.061193;északkelet;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916714;59.9;76;4 szoba;4;0;5. ker;Lipótváros;jó állapotú;földszint;4;nincs megadva;nincs megadva;utcai;47.50979;19.05285;kelet;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22916407;28.5;29;1 szoba;1;0;6. ker;Külső-Terézváros;újszerű;2;nincs megadva;van;házközponti egyedi méréssel;nincs megadva;47.513428;19.066608;északkelet;nincs megadva;;nincs megadva;3 m-nél alacsonyabb;nincs megadva;nincs megadva;nem tetőtéri
22916629;21.5;24;1 szoba;1;0;6. ker;Külső-Terézváros;felújított;földszint;4;van;gáz (konvektor);udvari;47.510517;19.064243;nyugat;utcán. közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22916343;21.9;35;1 szoba;1;0;7. ker;Középső-Erzsébetváros;felújított;nincs megadva;2;nincs;gáz (konvektor);udvari;47.500286;19.076033;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nem tetőtéri
22916378;49;52;1 + fél szoba;1;1;5. ker;Lipótváros;jó állapotú;félemelet;nincs megadva;van;házközponti;nincs megadva;47.50529;19.0485;kelet;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916242;30.9;64;2 szoba;2;0;6. ker;Belső-Terézváros;jó állapotú;5;5;van;gáz (konvektor);utcai;47.507885;19.056578;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22916483;31.9;40;1 + fél szoba;1;1;7. ker;Belső-Erzsébetváros;újszerű;1;nincs megadva;nincs;gáz (konvektor);nincs megadva;47.49821;19.06669;dél;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
