listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22809253;56.9;56;1 + fél szoba;1;1;5. ker;Belváros;felújított;5;6;van;házközponti;utcai;47.489014;19.056517;nyugat;nincs megadva;0;nincs;3 m-nél alacsonyabb;összkomfortos;egy helyiségben;legfelső emelet, nem tetőtéri
22599530;54;162;4 szoba;4;0;7. ker;Erzsébetváros;felújított;földszint;3;nincs;egyéb;udvari;47.502106;19.073023;délnyugat;utcán, közterületen - fizetős;;nincs megadva;3 m-nél alacsonyabb;összkomfortos;nincs megadva;nincs megadva
22626041;53;80;3 szoba;3;0;6. ker;Külső-Terézváros;új építésű;1;7;van;geotermikus;udvari;47.51037;19.065414;nincs megadva;garázs - megvehető;;van;3 m-nél alacsonyabb;duplakomfortos;nincs megadva;nem tetőtéri
22762211;16.9;43;2 szoba;2;0;7. ker;Középső-Erzsébetváros;felújított;földszint;4;van;gáz (konvektor);udvari;47.50021;19.07357;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22653378;30.9;110;3 + 2 fél szoba;3;2;7. ker;Külső-Erzsébetváros;felújítandó;3;5;van;gáz (konvektor);utcai;47.50214;19.08475;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;külön helyiségben;nincs megadva
22677001;57.9;87;3 szoba;3;0;5. ker;Lipótváros;építés alatt;1;4;van;gáz (cirko);utcai;47.511627;19.050652;nyugat;nincs megadva;;van;3 m vagy magasabb;luxus;külön és egyben is;nincs megadva
22830142;54.9;83;3 + fél szoba;3;1;7. ker;Középső-Erzsébetváros;új építésű;4;4;van;gáz (cirko);udvari;47.50114;19.06843;nyugat;utcán, közterületen - fizetős;;nincs;3 m-nél alacsonyabb;összkomfortos;külön és egyben is;legfelső emelet, nem tetőtéri
22197931;29.5;67;2 + fél szoba;2;1;7. ker;Külső-Erzsébetváros – Ligetváros;jó állapotú;3;3;nincs;gáz (cirko);utcai;47.50605;19.08158;délkelet;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22781177;42.99;68;2 + fél szoba;2;1;5. ker;Belváros;felújított;2;5;van;elektromos;nincs megadva;47.49539;19.05885;nincs megadva;nincs megadva;;van;3 m vagy magasabb;duplakomfortos;nincs megadva;nem tetőtéri
22819765;71;82;2 + fél szoba;2;1;5. ker;Lipótváros;felújított;3;6;van;házközponti;panorámás;47.508472;19.049206;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22813184;24.9;50;1 + 2 fél szoba;1;2;6. ker;Külső-Terézváros;felújított;3;nincs megadva;nincs;gáz (cirko);udvari;47.50879;19.06271;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;egy helyiségben;nincs megadva
22776196;34.9;109;3 + fél szoba;3;1;6. ker;Külső-Terézváros;felújítandó;3;3;nincs;gáz (héra);utcai;47.50879;19.06271;nincs megadva;utcán, közterületen - fizetős;2.6;nincs megadva;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22805089;39.9;66;2 + fél szoba;2;1;6. ker;Külső-Terézváros;jó állapotú;félemelet;2;van;gáz (cirko);utcai;47.50808;19.06766;délnyugat;utcán, közterületen - ingyenes;;nincs megadva;3 m vagy magasabb;összkomfortos;külön helyiségben;nincs megadva
22620542;24.999;82;3 szoba;3;0;7. ker;Külső-Erzsébetváros;közepes állapotú;3;3;nincs;gáz (héra);nincs megadva;47.505295;19.080984;északkelet;utcán, közterületen - ingyenes;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22704669;49.9;70;2 + fél szoba;2;1;5. ker;Belváros;jó állapotú;4;5;van;elektromos;utcai;47.49364;19.05374;nyugat;utcán, közterületen - ingyenes;;nincs megadva;3 m-nél alacsonyabb;összkomfortos;külön helyiségben;tetőtéri
22828005;24.9;55;2 szoba;2;0;7. ker;Belső-Erzsébetváros;felújítandó;3;3;nincs;gáz (konvektor);utcai;47.499496;19.068945;délnyugat;utcán, közterületen - fizetős;0;nincs;3 m vagy magasabb;összkomfortos;nincs megadva;nem tetőtéri
22750923;24.9;50;1 + 2 fél szoba;1;2;6. ker;Külső-Terézváros;felújított;3;3;nincs;gáz (cirko);udvari;47.50879;19.06271;délkelet;utcán, közterületen - fizetős;;nincs;nincs megadva;összkomfortos;egy helyiségben;legfelső emelet, nem tetőtéri
22817003;37.85;74;3 szoba;3;0;7. ker;Külső-Erzsébetváros – Ligetváros;felújított;3;4;van;gáz (cirko);utcai;47.507374;19.078262;délnyugat;utcán, közterületen - ingyenes;;nincs megadva;3 m vagy magasabb;duplakomfortos;külön és egyben is;nem tetőtéri
22821805;35.5;53;2 + fél szoba;2;1;6. ker;Külső-Terézváros;felújított;1;nincs megadva;van;gáz (cirko);udvari;47.513428;19.066608;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nincs megadva
21971152;43.6;61;3 szoba;3;0;6. ker;Külső-Terézváros;új építésű;nincs megadva;7;van;geotermikus;udvari;47.5099;19.06571;dél;teremgarázs - megvehető;3.24;van;3 m-nél alacsonyabb;összkomfortos;külön helyiségben;nincs megadva
22696150;125;107;2 + fél szoba;2;1;5. ker;Lipótváros;felújított;4;5;van;gáz (cirko);utcai;47.503487;19.046125;délkelet;utcán, közterületen - fizetős;;van;3 m vagy magasabb;luxus;külön és egyben is;nem tetőtéri
