listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22559019;249;71;2 szoba;2;0;7. ker;Belső-Erzsébetváros;felújított;4;5;van;gáz (cirko);nincs megadva;47.49814;19.064728;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nem tetőtéri
22561511;203;56;2 + fél szoba;2;1;6. ker;Külső-Terézváros;nincs megadva;4;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.50893;19.06363;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22564102;281;78;3 szoba;3;0;5. ker;Belváros;felújított;félemelet;nincs megadva;nincs megadva;gáz (cirko);utcai;47.4894;19.05987;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;duplakomfortos;külön helyiségben;nincs megadva
22558264;160;53;1 + fél szoba;1;1;6. ker;Külső-Terézváros;újszerű;2;3;nincs megadva;gáz (cirko);udvari;47.50758;19.06265;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;egy helyiségben;nincs megadva
22564134;220;77;2 + fél szoba;2;1;5. ker;Belváros;felújított;1;nincs megadva;nincs megadva;gáz (cirko);nincs megadva;47.493084;19.053127;dél;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;külön helyiségben;nincs megadva
22557955;406;150;1 szoba;1;0;7. ker;Középső-Erzsébetváros;felújított;2;nincs megadva;van;gáz (cirko);utcai;47.50114;19.06843;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22556613;234;65;2 szoba;2;0;6. ker;Belső-Terézváros;újszerű;2;nincs megadva;van;gáz (cirko);utcai;47.50132;19.05914;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;egy helyiségben;nincs megadva
22557501;182;180;2 + fél szoba;2;1;5. ker;Belváros;jó állapotú;földszint;4;nincs megadva;gáz (cirko);utcai;47.49196;19.06092;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
22562991;400;105;3 szoba;3;0;6. ker;Belső-Terézváros;jó állapotú;1;5;nincs megadva;gáz (cirko);utcai;47.50219;19.05913;délkelet;nincs megadva;;nincs megadva;3 m vagy magasabb;duplakomfortos;külön és egyben is;nincs megadva
22555399;170;68;2 szoba;2;0;6. ker;Külső-Terézváros;jó állapotú;3;3;nincs;gáz (konvektor);utcai;47.50501;19.068192;délkelet;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;legfelső emelet, nem tetőtéri
22555115;530;122;2 szoba;2;0;5. ker;Belváros;új építésű;2;5;van;házközponti;utcai;47.496674;19.054085;nincs megadva;garázs - az árban;;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22557308;160;48;1 + fél szoba;1;1;6. ker;Belső-Terézváros;felújított;2;4;van;gáz (cirko);utcai;47.507885;19.056578;nincs megadva;utcán, közterületen - fizetős;;van;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22565712;275;56;2 szoba;2;0;5. ker;Lipótváros;felújított;3;6;van;gáz (cirko);utcai;47.503906;19.054758;nincs megadva;utcán, közterületen - fizetős;0;van;3 m vagy magasabb;luxus;egy helyiségben;nem tetőtéri
22557906;195;63;2 + fél szoba;2;1;5. ker;Lipótváros;jó állapotú;1;6;van;gáz (cirko);utcai;47.51011;19.05257;nincs megadva;utcán, közterületen - fizetős;0;van;nincs megadva;összkomfortos;külön helyiségben;nincs megadva
22564750;399;82;2 szoba;2;0;5. ker;Belváros;felújított;4;4;van;gáz (cirko);panorámás;47.48995;19.05956;délnyugat;utcán, közterületen - fizetős;;van;3 m-nél alacsonyabb;luxus;egy helyiségben;nem tetőtéri
22559304;270;60;2 szoba;2;0;5. ker;Lipótváros;újszerű;1;3;van;házközponti;nincs megadva;47.50189;19.04884;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;egy helyiségben;nincs megadva
22564512;468;140;4 szoba;4;0;6. ker;Belső-Terézváros;felújított;2;nincs megadva;van;elektromos;nincs megadva;47.50219;19.05913;nincs megadva;nincs megadva;;nincs megadva;3 m vagy magasabb;duplakomfortos;nincs megadva;nincs megadva
22565143;650;158;4 szoba;4;0;6. ker;Külső-Terézváros – Diplomatanegyed;újszerű;1;4;van;gáz (cirko);utcai;47.511406;19.075872;nincs megadva;nincs megadva;20;nincs megadva;nincs megadva;duplakomfortos;külön helyiségben;nem tetőtéri
